,country,year,sex,age,SuicidesNo,population,HDIForYear,GDPForYearMoney,suicidesper100k,Generation,TotalPopulationYear,GDPperCapita
30,Albania,1989,female,15-24 years,5,299900,0.0,2335124988,1.67,Generation X,2803100,833.050903642396
31,Albania,1989,female,25-34 years,2,266300,0.0,2335124988,0.75,Boomers,2803100,833.050903642396
32,Albania,1989,female,55-74 years,1,149600,0.0,2335124988,0.67,Silent,2803100,833.050903642396
33,Albania,1989,female,5-14 years,0,321900,0.0,2335124988,0.0,Millenials,2803100,833.050903642396
34,Albania,1989,female,75+ years,0,37000,0.0,2335124988,0.0,GI Generation,2803100,833.050903642396
35,Albania,1989,male,5-14 years,0,349700,0.0,2335124988,0.0,Millenials,2803100,833.050903642396
36,Albania,1992,male,35-54 years,12,343800,0.0,709452584,3.49,Boomers,2822500,251.35609707705933
37,Albania,1992,male,15-24 years,9,263700,0.0,709452584,3.41,Generation X,2822500,251.35609707705933
38,Albania,1992,male,55-74 years,5,159500,0.0,709452584,3.13,Silent,2822500,251.35609707705933
39,Albania,1992,male,25-34 years,7,245500,0.0,709452584,2.85,Generation X,2822500,251.35609707705933
40,Albania,1992,female,15-24 years,7,292400,0.0,709452584,2.39,Generation X,2822500,251.35609707705933
41,Albania,1992,female,25-34 years,4,267400,0.0,709452584,1.5,Generation X,2822500,251.35609707705933
42,Albania,1992,female,35-54 years,2,323100,0.0,709452584,0.62,Boomers,2822500,251.35609707705933
43,Albania,1992,female,55-74 years,1,164900,0.0,709452584,0.61,Silent,2822500,251.35609707705933
44,Albania,1992,female,5-14 years,0,336700,0.0,709452584,0.0,Millenials,2822500,251.35609707705933
45,Albania,1992,female,75+ years,0,38700,0.0,709452584,0.0,GI Generation,2822500,251.35609707705933
46,Albania,1992,male,5-14 years,0,362900,0.0,709452584,0.0,Millenials,2822500,251.35609707705933
47,Albania,1992,male,75+ years,0,23900,0.0,709452584,0.0,GI Generation,2822500,251.35609707705933
48,Albania,1993,male,15-24 years,18,243300,0.0,1228071038,7.4,Generation X,2807300,437.456288248495
49,Albania,1993,male,55-74 years,7,165000,0.0,1228071038,4.24,Silent,2807300,437.456288248495
50,Albania,1993,male,75+ years,1,24200,0.0,1228071038,4.13,GI Generation,2807300,437.456288248495
51,Albania,1993,male,25-34 years,9,230100,0.0,1228071038,3.91,Generation X,2807300,437.456288248495
52,Albania,1993,female,15-24 years,1,285300,0.0,1228071038,0.35,Generation X,2807300,437.456288248495
53,Albania,1993,male,35-54 years,1,350300,0.0,1228071038,0.29,Boomers,2807300,437.456288248495
54,Albania,1993,female,25-34 years,7,261800,0.0,1228071038,2.67,Generation X,2807300,437.456288248495
55,Albania,1993,female,35-54 years,7,331200,0.0,1228071038,2.11,Boomers,2807300,437.456288248495
56,Albania,1993,female,55-74 years,2,169500,0.0,1228071038,1.18,Silent,2807300,437.456288248495
57,Albania,1993,female,5-14 years,1,340300,0.0,1228071038,0.29,Millenials,2807300,437.456288248495
58,Albania,1993,male,5-14 years,1,367000,0.0,1228071038,0.27,Millenials,2807300,437.456288248495
59,Albania,1993,female,75+ years,0,39300,0.0,1228071038,0.0,GI Generation,2807300,437.456288248495
60,Albania,1994,male,75+ years,2,24600,0.0,1985673798,8.13,GI Generation,2849300,696.8988165514337
61,Albania,1994,male,55-74 years,11,171400,0.0,1985673798,6.42,Silent,2849300,696.8988165514337
62,Albania,1994,female,75+ years,2,39900,0.0,1985673798,5.01,GI Generation,2849300,696.8988165514337
63,Albania,1994,male,25-34 years,6,231400,0.0,1985673798,2.59,Generation X,2849300,696.8988165514337
64,Albania,1994,male,35-54 years,9,362800,0.0,1985673798,2.48,Boomers,2849300,696.8988165514337
65,Albania,1994,male,15-24 years,6,242200,0.0,1985673798,2.48,Generation X,2849300,696.8988165514337
66,Albania,1994,female,15-24 years,6,282600,0.0,1985673798,2.12,Generation X,2849300,696.8988165514337
67,Albania,1994,female,25-34 years,4,261100,0.0,1985673798,1.53,Generation X,2849300,696.8988165514337
68,Albania,1994,female,35-54 years,2,342500,0.0,1985673798,0.58,Boomers,2849300,696.8988165514337
69,Albania,1994,female,55-74 years,1,174600,0.0,1985673798,0.57,Silent,2849300,696.8988165514337
70,Albania,1994,male,5-14 years,1,371800,0.0,1985673798,0.27,Millenials,2849300,696.8988165514337
71,Albania,1994,female,5-14 years,0,344400,0.0,1985673798,0.0,Millenials,2849300,696.8988165514337
72,Albania,1995,male,25-34 years,13,232900,0.619,2424499009,5.58,Generation X,2903400,835.0551109044568
73,Albania,1995,male,55-74 years,9,178000,0.619,2424499009,5.06,Silent,2903400,835.0551109044568
74,Albania,1995,female,75+ years,2,40800,0.619,2424499009,4.9,GI Generation,2903400,835.0551109044568
75,Albania,1995,female,15-24 years,13,283500,0.619,2424499009,4.59,Generation X,2903400,835.0551109044568
76,Albania,1995,male,15-24 years,11,241200,0.619,2424499009,4.56,Generation X,2903400,835.0551109044568
77,Albania,1995,male,75+ years,1,25100,0.619,2424499009,3.98,GI Generation,2903400,835.0551109044568
78,Albania,1995,male,35-54 years,14,375900,0.619,2424499009,3.72,Boomers,2903400,835.0551109044568
79,Albania,1995,female,25-34 years,7,264000,0.619,2424499009,2.65,Generation X,2903400,835.0551109044568
80,Albania,1995,female,35-54 years,8,356400,0.619,2424499009,2.24,Boomers,2903400,835.0551109044568
81,Albania,1995,male,5-14 years,6,376500,0.619,2424499009,1.59,Millenials,2903400,835.0551109044568
82,Albania,1995,female,55-74 years,2,180400,0.619,2424499009,1.11,Silent,2903400,835.0551109044568
83,Albania,1995,female,5-14 years,2,348700,0.619,2424499009,0.57,Millenials,2903400,835.0551109044568
84,Albania,1996,male,75+ years,2,25400,0.0,3314898292,7.87,GI Generation,2940200,1127.4397292701176
85,Albania,1996,male,15-24 years,17,243600,0.0,3314898292,6.98,Millenials,2940200,1127.4397292701176
86,Albania,1996,male,25-34 years,14,235300,0.0,3314898292,5.95,Generation X,2940200,1127.4397292701176
87,Albania,1996,female,15-24 years,16,287700,0.0,3314898292,5.56,Millenials,2940200,1127.4397292701176
88,Albania,1996,female,75+ years,2,41200,0.0,3314898292,4.85,GI Generation,2940200,1127.4397292701176
89,Albania,1996,female,25-34 years,1,267900,0.0,3314898292,0.37,Generation X,2940200,1127.4397292701176
90,Albania,1996,male,35-54 years,12,379600,0.0,3314898292,3.16,Boomers,2940200,1127.4397292701176
91,Albania,1996,female,35-54 years,9,362000,0.0,3314898292,2.49,Boomers,2940200,1127.4397292701176
92,Albania,1996,male,55-74 years,3,179900,0.0,3314898292,1.67,Silent,2940200,1127.4397292701176
93,Albania,1996,female,55-74 years,1,183100,0.0,3314898292,0.55,Silent,2940200,1127.4397292701176
94,Albania,1996,male,5-14 years,2,380400,0.0,3314898292,0.53,Millenials,2940200,1127.4397292701176
95,Albania,1996,female,5-14 years,1,354100,0.0,3314898292,0.28,Millenials,2940200,1127.4397292701176
96,Albania,1997,male,25-34 years,36,236000,0.0,2359903108,15.25,Generation X,2977300,792.6319510966312
97,Albania,1997,male,15-24 years,33,244400,0.0,2359903108,13.5,Millenials,2977300,792.6319510966312
98,Albania,1997,male,75+ years,3,25400,0.0,2359903108,11.81,GI Generation,2977300,792.6319510966312
99,Albania,1997,male,35-54 years,3,380800,0.0,2359903108,0.79,Boomers,2977300,792.6319510966312
100,Albania,1997,female,15-24 years,21,294000,0.0,2359903108,7.14,Millenials,2977300,792.6319510966312
101,Albania,1997,male,55-74 years,12,180300,0.0,2359903108,6.66,Silent,2977300,792.6319510966312
102,Albania,1997,female,25-34 years,16,273900,0.0,2359903108,5.84,Generation X,2977300,792.6319510966312
103,Albania,1997,female,75+ years,2,42100,0.0,2359903108,4.75,GI Generation,2977300,792.6319510966312
104,Albania,1997,female,35-54 years,7,370100,0.0,2359903108,1.89,Boomers,2977300,792.6319510966312
105,Albania,1997,female,5-14 years,6,361800,0.0,2359903108,1.66,Millenials,2977300,792.6319510966312
106,Albania,1997,male,5-14 years,4,381500,0.0,2359903108,1.05,Millenials,2977300,792.6319510966312
107,Albania,1997,female,55-74 years,0,187000,0.0,2359903108,0.0,Silent,2977300,792.6319510966312
108,Albania,1998,male,75+ years,3,25800,0.0,2707123772,11.63,GI Generation,3012700,898.570641617154
109,Albania,1998,male,15-24 years,27,248800,0.0,2707123772,10.85,Millenials,3012700,898.570641617154
110,Albania,1998,female,15-24 years,32,295600,0.0,2707123772,10.83,Millenials,3012700,898.570641617154
111,Albania,1998,male,25-34 years,26,240400,0.0,2707123772,10.82,Generation X,3012700,898.570641617154
112,Albania,1998,male,35-54 years,29,388200,0.0,2707123772,7.47,Boomers,3012700,898.570641617154
113,Albania,1998,male,55-74 years,9,183800,0.0,2707123772,4.9,Silent,3012700,898.570641617154
114,Albania,1998,female,25-34 years,1,275300,0.0,2707123772,0.36,Generation X,3012700,898.570641617154
115,Albania,1998,female,55-74 years,6,188200,0.0,2707123772,3.19,Silent,3012700,898.570641617154
116,Albania,1998,female,35-54 years,9,372100,0.0,2707123772,2.42,Boomers,3012700,898.570641617154
117,Albania,1998,male,5-14 years,2,388400,0.0,2707123772,0.51,Millenials,3012700,898.570641617154
118,Albania,1998,female,5-14 years,1,363800,0.0,2707123772,0.27,Millenials,3012700,898.570641617154
119,Albania,1998,female,75+ years,0,42300,0.0,2707123772,0.0,GI Generation,3012700,898.570641617154
120,Albania,1999,male,75+ years,3,25900,0.0,3414760915,11.58,GI Generation,3029700,1127.0953939333926
121,Albania,1999,male,15-24 years,24,250600,0.0,3414760915,9.58,Millenials,3029700,1127.0953939333926
122,Albania,1999,female,75+ years,4,42400,0.0,3414760915,9.43,GI Generation,3029700,1127.0953939333926
123,Albania,1999,male,35-54 years,31,391100,0.0,3414760915,7.93,Boomers,3029700,1127.0953939333926
124,Albania,1999,male,25-34 years,19,242300,0.0,3414760915,7.84,Generation X,3029700,1127.0953939333926
125,Albania,1999,male,55-74 years,14,185200,0.0,3414760915,7.56,Silent,3029700,1127.0953939333926
126,Albania,1999,female,15-24 years,19,296800,0.0,3414760915,6.4,Millenials,3029700,1127.0953939333926
127,Albania,1999,female,25-34 years,13,276500,0.0,3414760915,4.7,Generation X,3029700,1127.0953939333926
128,Albania,1999,female,55-74 years,6,188800,0.0,3414760915,3.18,Silent,3029700,1127.0953939333926
129,Albania,1999,female,35-54 years,5,373600,0.0,3414760915,1.34,Boomers,3029700,1127.0953939333926
130,Albania,1999,female,5-14 years,1,365200,0.0,3414760915,0.27,Millenials,3029700,1127.0953939333926
131,Albania,1999,male,5-14 years,0,391300,0.0,3414760915,0.0,Millenials,3029700,1127.0953939333926
132,Albania,2000,male,25-34 years,17,232000,0.6559999999999999,3632043908,7.33,Generation X,2796300,1298.8749089868754
133,Albania,2000,male,55-74 years,1,177400,0.6559999999999999,3632043908,0.56,Silent,2796300,1298.8749089868754
134,Albania,2000,female,75+ years,2,37800,0.6559999999999999,3632043908,5.29,GI Generation,2796300,1298.8749089868754
135,Albania,2000,male,75+ years,1,24900,0.6559999999999999,3632043908,4.02,GI Generation,2796300,1298.8749089868754
136,Albania,2000,female,15-24 years,6,263900,0.6559999999999999,3632043908,2.27,Millenials,2796300,1298.8749089868754
137,Albania,2000,male,15-24 years,5,240000,0.6559999999999999,3632043908,2.08,Millenials,2796300,1298.8749089868754
138,Albania,2000,female,35-54 years,5,332200,0.6559999999999999,3632043908,1.51,Generation X,2796300,1298.8749089868754
139,Albania,2000,female,25-34 years,3,245800,0.6559999999999999,3632043908,1.22,Generation X,2796300,1298.8749089868754
140,Albania,2000,male,35-54 years,4,374700,0.6559999999999999,3632043908,1.07,Generation X,2796300,1298.8749089868754
141,Albania,2000,male,5-14 years,1,374900,0.6559999999999999,3632043908,0.27,Millenials,2796300,1298.8749089868754
142,Albania,2000,female,5-14 years,0,324700,0.6559999999999999,3632043908,0.0,Millenials,2796300,1298.8749089868754
143,Albania,2000,female,55-74 years,0,168000,0.6559999999999999,3632043908,0.0,Silent,2796300,1298.8749089868754
144,Albania,2001,male,25-34 years,22,206484,0.0,4060758804,10.65,Generation X,2799349,1450.6082678508467
145,Albania,2001,male,35-54 years,34,378826,0.0,4060758804,8.98,Generation X,2799349,1450.6082678508467
146,Albania,2001,male,55-74 years,11,196670,0.0,4060758804,5.59,Boomers,2799349,1450.6082678508467
147,Albania,2001,female,75+ years,2,47254,0.0,4060758804,4.23,GI Generation,2799349,1450.6082678508467
148,Albania,2001,male,15-24 years,1,256039,0.0,4060758804,0.39,Millenials,2799349,1450.6082678508467
149,Albania,2001,female,15-24 years,9,271359,0.0,4060758804,3.32,Millenials,2799349,1450.6082678508467
150,Albania,2001,female,35-54 years,12,370191,0.0,4060758804,3.24,Generation X,2799349,1450.6082678508467
151,Albania,2001,male,75+ years,1,31044,0.0,4060758804,3.22,GI Generation,2799349,1450.6082678508467
152,Albania,2001,female,55-74 years,6,189799,0.0,4060758804,3.16,Boomers,2799349,1450.6082678508467
153,Albania,2001,male,5-14 years,6,321556,0.0,4060758804,1.87,Generation Z,2799349,1450.6082678508467
154,Albania,2001,female,25-34 years,4,222771,0.0,4060758804,1.8,Generation X,2799349,1450.6082678508467
155,Albania,2001,female,5-14 years,2,307356,0.0,4060758804,0.65,Generation Z,2799349,1450.6082678508467
156,Albania,2002,male,75+ years,4,31007,0.0,4435078648,12.9,GI Generation,2818839,1573.3706848812578
157,Albania,2002,male,25-34 years,23,206286,0.0,4435078648,11.15,Generation X,2818839,1573.3706848812578
158,Albania,2002,male,35-54 years,35,382139,0.0,4435078648,9.16,Generation X,2818839,1573.3706848812578
159,Albania,2002,male,55-74 years,13,198130,0.0,4435078648,6.56,Boomers,2818839,1573.3706848812578
160,Albania,2002,male,15-24 years,15,263067,0.0,4435078648,5.7,Millenials,2818839,1573.3706848812578
161,Albania,2002,female,15-24 years,14,275970,0.0,4435078648,5.07,Millenials,2818839,1573.3706848812578
162,Albania,2002,female,35-54 years,15,375113,0.0,4435078648,4.0,Generation X,2818839,1573.3706848812578
163,Albania,2002,female,25-34 years,7,223685,0.0,4435078648,3.13,Generation X,2818839,1573.3706848812578
164,Albania,2002,female,75+ years,1,47407,0.0,4435078648,2.11,GI Generation,2818839,1573.3706848812578
165,Albania,2002,female,55-74 years,4,191712,0.0,4435078648,2.09,Boomers,2818839,1573.3706848812578
166,Albania,2002,female,5-14 years,1,304850,0.0,4435078648,0.33,Generation Z,2818839,1573.3706848812578
167,Albania,2002,male,5-14 years,1,319473,0.0,4435078648,0.31,Generation Z,2818839,1573.3706848812578
168,Albania,2003,female,75+ years,6,49088,0.0,5746945913,12.22,Silent,2843929,2020.7768594082343
169,Albania,2003,male,55-74 years,16,201520,0.0,5746945913,7.94,Boomers,2843929,2020.7768594082343
170,Albania,2003,male,35-54 years,28,386196,0.0,5746945913,7.25,Generation X,2843929,2020.7768594082343
171,Albania,2003,male,15-24 years,15,273235,0.0,5746945913,5.49,Millenials,2843929,2020.7768594082343
172,Albania,2003,female,15-24 years,14,283709,0.0,5746945913,4.93,Millenials,2843929,2020.7768594082343
173,Albania,2003,female,55-74 years,9,195699,0.0,5746945913,4.6,Boomers,2843929,2020.7768594082343
174,Albania,2003,male,25-34 years,9,205433,0.0,5746945913,4.38,Generation X,2843929,2020.7768594082343
175,Albania,2003,female,25-34 years,9,222941,0.0,5746945913,4.04,Generation X,2843929,2020.7768594082343
176,Albania,2003,female,35-54 years,13,381760,0.0,5746945913,3.41,Generation X,2843929,2020.7768594082343
177,Albania,2003,male,75+ years,1,32667,0.0,5746945913,3.06,Silent,2843929,2020.7768594082343
178,Albania,2003,male,5-14 years,4,313204,0.0,5746945913,1.28,Generation Z,2843929,2020.7768594082343
179,Albania,2003,female,5-14 years,0,298477,0.0,5746945913,0.0,Generation Z,2843929,2020.7768594082343
180,Albania,2004,male,75+ years,4,35526,0.0,7314865176,11.26,Silent,2874991,2544.308895575673
181,Albania,2004,male,35-54 years,39,391767,0.0,7314865176,9.95,Generation X,2874991,2544.308895575673
182,Albania,2004,male,25-34 years,16,203938,0.0,7314865176,7.85,Generation X,2874991,2544.308895575673
183,Albania,2004,female,15-24 years,2,292268,0.0,7314865176,0.68,Millenials,2874991,2544.308895575673
184,Albania,2004,male,15-24 years,19,286768,0.0,7314865176,6.63,Millenials,2874991,2544.308895575673
185,Albania,2004,female,75+ years,3,50970,0.0,7314865176,5.89,Silent,2874991,2544.308895575673
186,Albania,2004,female,25-34 years,11,222389,0.0,7314865176,4.95,Generation X,2874991,2544.308895575673
187,Albania,2004,male,55-74 years,1,207202,0.0,7314865176,0.48,Boomers,2874991,2544.308895575673
188,Albania,2004,female,35-54 years,17,391436,0.0,7314865176,4.34,Generation X,2874991,2544.308895575673
189,Albania,2004,female,55-74 years,3,203841,0.0,7314865176,1.47,Boomers,2874991,2544.308895575673
190,Albania,2004,female,5-14 years,3,286705,0.0,7314865176,1.05,Generation Z,2874991,2544.308895575673
191,Albania,2004,male,5-14 years,1,302181,0.0,7314865176,0.33,Generation Z,2874991,2544.308895575673
192,Albania,2005,female,15-24 years,0,281922,0.695,8158548717,0.0,Millenials,2783320,2931.229149720478
193,Albania,2005,female,25-34 years,0,190745,0.695,8158548717,0.0,Generation X,2783320,2931.229149720478
194,Albania,2005,female,35-54 years,0,386513,0.695,8158548717,0.0,Generation X,2783320,2931.229149720478
195,Albania,2005,female,5-14 years,0,276559,0.695,8158548717,0.0,Generation Z,2783320,2931.229149720478
196,Albania,2005,female,55-74 years,0,210998,0.695,8158548717,0.0,Boomers,2783320,2931.229149720478
197,Albania,2005,female,75+ years,0,53191,0.695,8158548717,0.0,Silent,2783320,2931.229149720478
198,Albania,2005,male,15-24 years,0,281675,0.695,8158548717,0.0,Millenials,2783320,2931.229149720478
199,Albania,2005,male,25-34 years,0,177519,0.695,8158548717,0.0,Generation X,2783320,2931.229149720478
200,Albania,2005,male,35-54 years,0,380242,0.695,8158548717,0.0,Generation X,2783320,2931.229149720478
201,Albania,2005,male,5-14 years,0,291367,0.695,8158548717,0.0,Generation Z,2783320,2931.229149720478
202,Albania,2005,male,55-74 years,0,214118,0.695,8158548717,0.0,Boomers,2783320,2931.229149720478
203,Albania,2005,male,75+ years,0,38471,0.695,8158548717,0.0,Silent,2783320,2931.229149720478
204,Albania,2006,female,15-24 years,0,283138,0.0,8992642349,0.0,Millenials,2780176,3234.5586570778255
205,Albania,2006,female,25-34 years,0,186391,0.0,8992642349,0.0,Millenials,2780176,3234.5586570778255
206,Albania,2006,female,35-54 years,0,388746,0.0,8992642349,0.0,Generation X,2780176,3234.5586570778255
207,Albania,2006,female,5-14 years,0,267316,0.0,8992642349,0.0,Generation Z,2780176,3234.5586570778255
208,Albania,2006,female,55-74 years,0,215907,0.0,8992642349,0.0,Boomers,2780176,3234.5586570778255
209,Albania,2006,female,75+ years,0,56011,0.0,8992642349,0.0,Silent,2780176,3234.5586570778255
210,Albania,2006,male,15-24 years,0,286679,0.0,8992642349,0.0,Millenials,2780176,3234.5586570778255
211,Albania,2006,male,25-34 years,0,174092,0.0,8992642349,0.0,Millenials,2780176,3234.5586570778255
212,Albania,2006,male,35-54 years,0,379076,0.0,8992642349,0.0,Generation X,2780176,3234.5586570778255
213,Albania,2006,male,5-14 years,0,282678,0.0,8992642349,0.0,Generation Z,2780176,3234.5586570778255
214,Albania,2006,male,55-74 years,0,219360,0.0,8992642349,0.0,Boomers,2780176,3234.5586570778255
215,Albania,2006,male,75+ years,0,40782,0.0,8992642349,0.0,Silent,2780176,3234.5586570778255
216,Albania,2007,male,75+ years,8,42366,0.0,10701011897,18.88,Silent,2770344,3862.7014901398525
217,Albania,2007,male,35-54 years,29,378626,0.0,10701011897,7.66,Generation X,2770344,3862.7014901398525
218,Albania,2007,male,55-74 years,14,224160,0.0,10701011897,6.25,Boomers,2770344,3862.7014901398525
219,Albania,2007,female,75+ years,3,57404,0.0,10701011897,5.23,Silent,2770344,3862.7014901398525
220,Albania,2007,male,25-34 years,9,172494,0.0,10701011897,5.22,Millenials,2770344,3862.7014901398525
221,Albania,2007,female,15-24 years,13,281080,0.0,10701011897,4.63,Millenials,2770344,3862.7014901398525
222,Albania,2007,male,15-24 years,13,288349,0.0,10701011897,4.51,Millenials,2770344,3862.7014901398525
223,Albania,2007,female,25-34 years,8,183629,0.0,10701011897,4.36,Millenials,2770344,3862.7014901398525
224,Albania,2007,female,55-74 years,9,221120,0.0,10701011897,4.07,Boomers,2770344,3862.7014901398525
225,Albania,2007,female,35-54 years,14,391811,0.0,10701011897,3.57,Generation X,2770344,3862.7014901398525
226,Albania,2007,male,5-14 years,4,272497,0.0,10701011897,1.47,Generation Z,2770344,3862.7014901398525
227,Albania,2007,female,5-14 years,0,256808,0.0,10701011897,0.0,Generation Z,2770344,3862.7014901398525
228,Albania,2008,male,25-34 years,21,172855,0.0,12881352688,12.15,Millenials,2757059,4672.135303597058
229,Albania,2008,male,35-54 years,37,377119,0.0,12881352688,9.81,Generation X,2757059,4672.135303597058
230,Albania,2008,male,55-74 years,21,228672,0.0,12881352688,9.18,Boomers,2757059,4672.135303597058
231,Albania,2008,female,75+ years,5,59369,0.0,12881352688,8.42,Silent,2757059,4672.135303597058
232,Albania,2008,female,15-24 years,2,276073,0.0,12881352688,0.72,Millenials,2757059,4672.135303597058
233,Albania,2008,female,25-34 years,9,182663,0.0,12881352688,4.93,Millenials,2757059,4672.135303597058
234,Albania,2008,female,35-54 years,19,393832,0.0,12881352688,4.82,Generation X,2757059,4672.135303597058
235,Albania,2008,male,75+ years,2,44574,0.0,12881352688,4.49,Silent,2757059,4672.135303597058
236,Albania,2008,male,15-24 years,11,286702,0.0,12881352688,3.84,Millenials,2757059,4672.135303597058
237,Albania,2008,female,55-74 years,7,226448,0.0,12881352688,3.09,Boomers,2757059,4672.135303597058
238,Albania,2008,male,5-14 years,7,262464,0.0,12881352688,2.67,Generation Z,2757059,4672.135303597058
239,Albania,2008,female,5-14 years,1,246288,0.0,12881352688,0.41,Generation Z,2757059,4672.135303597058
240,Albania,2009,female,15-24 years,0,270003,0.0,12044212904,0.0,Millenials,2745735,4386.516872167197
241,Albania,2009,female,25-34 years,0,182712,0.0,12044212904,0.0,Millenials,2745735,4386.516872167197
242,Albania,2009,female,35-54 years,0,394286,0.0,12044212904,0.0,Generation X,2745735,4386.516872167197
243,Albania,2009,female,5-14 years,0,236174,0.0,12044212904,0.0,Generation Z,2745735,4386.516872167197
244,Albania,2009,female,55-74 years,0,233302,0.0,12044212904,0.0,Boomers,2745735,4386.516872167197
245,Albania,2009,female,75+ years,0,61582,0.0,12044212904,0.0,Silent,2745735,4386.516872167197
246,Albania,2009,male,15-24 years,0,283448,0.0,12044212904,0.0,Millenials,2745735,4386.516872167197
247,Albania,2009,male,25-34 years,0,174955,0.0,12044212904,0.0,Millenials,2745735,4386.516872167197
248,Albania,2009,male,35-54 years,0,374365,0.0,12044212904,0.0,Generation X,2745735,4386.516872167197
249,Albania,2009,male,5-14 years,0,253007,0.0,12044212904,0.0,Generation Z,2745735,4386.516872167197
250,Albania,2009,male,55-74 years,0,234570,0.0,12044212904,0.0,Boomers,2745735,4386.516872167197
251,Albania,2009,male,75+ years,0,47331,0.0,12044212904,0.0,Silent,2745735,4386.516872167197
252,Albania,2010,male,55-74 years,2,241852,0.722,11926953259,0.83,Boomers,2736025,4359.226709916758
253,Albania,2010,male,35-54 years,2,371611,0.722,11926953259,0.54,Generation X,2736025,4359.226709916758
254,Albania,2010,male,25-34 years,9,179720,0.722,11926953259,5.01,Millenials,2736025,4359.226709916758
255,Albania,2010,male,75+ years,2,50767,0.722,11926953259,3.94,Silent,2736025,4359.226709916758
256,Albania,2010,male,15-24 years,1,279508,0.722,11926953259,0.36,Millenials,2736025,4359.226709916758
257,Albania,2010,female,25-34 years,6,183579,0.722,11926953259,3.27,Millenials,2736025,4359.226709916758
258,Albania,2010,female,75+ years,2,64415,0.722,11926953259,3.1,Silent,2736025,4359.226709916758
259,Albania,2010,female,35-54 years,12,394593,0.722,11926953259,3.04,Generation X,2736025,4359.226709916758
260,Albania,2010,female,55-74 years,7,241491,0.722,11926953259,2.9,Boomers,2736025,4359.226709916758
261,Albania,2010,female,15-24 years,6,263581,0.722,11926953259,2.28,Millenials,2736025,4359.226709916758
262,Albania,2010,female,5-14 years,2,223969,0.722,11926953259,0.89,Generation Z,2736025,4359.226709916758
263,Albania,2010,male,5-14 years,0,240939,0.722,11926953259,0.0,Generation Z,2736025,4359.226709916758
264,Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0,240923926,0.0,Generation X,62574,3850.224150605683
